Player,Team,Age,Height,Weight,GP,MIN,FREQ,DFGM,DFGA,FG%
Al Horford,PHI,34,81,240,67,2026,46.3%,248.0,414.0,61.1
Alex Len,SAC,27,84,250,55,971,51.6%,138.0,275.0,60.5
Andre Drummond,CLE,26,82,279,57,1878,52.9%,265.0,467.0,62.3
Ante Zizic,CLE,23,82,266,22,221,53.2%,37.0,58.0,60.0
Anthony Davis,LAL,27,82,253,62,2131,36.5%,162.0,325.0,61.1
Anzejs Pasecniks,WAS,24,86,229,27,437,47.7%,67.0,106.0,60.0
Aron Baynes,PHX,33,82,260,42,934,46.7%,133.0,218.0,62.5
Bam Adebayo,MIA,22,81,255,72,2417,39.4%,209.0,376.0,61.6
Bismack Biyombo,CHA,27,80,255,53,1029,52.5%,121.0,234.0,60.4
Boban Marjanovic,DAL,31,88,290,44,422,46.4%,62.0,97.0,62.9
Bol Bol,DEN,20,86,220,7,87,37.2%,8.0,16.0,57.3
Brook Lopez,MIL,32,84,282,68,1817,44.3%,216.0,490.0,61.5
Bruno Fernando,ATL,21,81,240,56,713,45.9%,113.0,174.0,61.7
Cheick Diallo,PHX,23,80,219,47,479,50.6%,69.0,119.0,62.0
Chimezie Metu,SAS,23,81,225,18,105,40.0%,14.0,22.0,56.8
Chris Boucher,TOR,27,81,200,62,819,48.9%,108.0,217.0,60.0
Clint Capela,ATL,26,82,240,39,1279,52.7%,213.0,373.0,61.8
Cody Zeller,CHA,27,84,240,58,1341,54.8%,210.0,339.0,62.1
Cristiano Felicio,CHI,27,82,270,22,386,53.8%,71.0,93.0,62.8
Damian Jones,ATL,25,83,245,55,887,47.8%,117.0,218.0,60.2
Daniel Gafford,CHI,21,82,234,43,609,63.0%,90.0,177.0,62.1
Daniel Theis,BOS,28,80,245,65,1566,50.1%,229.0,425.0,61.4
DeAndre Jordan,BKN,31,83,265,56,1234,33.8%,93.0,185.0,59.7
Dean Wade,CLE,23,81,228,12,71,54.8%,10.0,17.0,58.6
Deandre Ayton,PHX,21,83,250,38,1236,38.0%,140.0,269.0,60.6
Dewan Hernandez,TOR,23,82,235,6,28,36.4%,2.0,4.0,64.2
Dewayne Dedmon,ATL,30,84,245,44,774,46.8%,83.0,166.0,60.9
Domantas Sabonis,IND,24,83,240,62,2159,45.3%,238.0,412.0,61.1
