Player,Team,Age,Height,Weight,GP,MIN,FREQ,DFGM,DFGA,FG%
Al Horford,BOS,35,81,240,28,782,39.3%,76.0,129.0,62.0
Aleksej Pokusevski,OKC,19,84,190,45,1090,38.9%,112.0,168.0,60.5
Alex Len,WAS,28,84,250,64,979,53.2%,143.0,278.0,62.6
Amida Brimah,IND,27,82,230,5,29,76.5%,5.0,13.0,56.0
Andre Drummond,LAL,27,82,279,46,1242,50.3%,163.0,273.0,62.6
Anthony Davis,LAL,28,82,253,36,1162,40.4%,120.0,201.0,62.7
Anzejs Pasecniks,WAS,25,85,229,1,6,50.0%,2.0,2.0,62.0
Aron Baynes,TOR,34,82,260,53,980,43.7%,121.0,196.0,63.0
Bam Adebayo,MIA,23,81,255,64,2143,34.6%,166.0,287.0,62.3
Bismack Biyombo,CHA,28,80,255,66,1349,41.3%,140.0,268.0,61.1
Boban Marjanovic,DAL,32,88,290,33,271,42.7%,40.0,61.0,61.4
Bol Bol,DEN,21,86,220,32,160,42.6%,19.0,29.0,61.3
Brook Lopez,MIL,33,84,282,70,1902,43.4%,246.0,499.0,62.1
Bruno Fernando,ATL,22,81,240,33,226,30.6%,18.0,33.0,62.1
Chimezie Metu,SAC,24,81,225,36,488,48.6%,79.0,124.0,61.4
Chris Boucher,TOR,28,81,200,60,1453,45.3%,210.0,354.0,61.0
Clint Capela,ATL,27,82,240,63,1898,57.0%,277.0,539.0,61.6
Cody Zeller,CHA,28,83,240,48,1005,44.4%,139.0,224.0,61.4
Cristiano Felicio,CHI,28,83,270,18,84,40.0%,6.0,14.0,66.1
Damian Jones,SAC,26,83,245,39,546,51.2%,72.0,131.0,61.9
Daniel Gafford,WAS,22,82,234,54,791,60.0%,128.0,258.0,61.8
Daniel Oturu,LAC,21,80,240,30,161,42.4%,16.0,28.0,55.9
Daniel Theis,CHI,29,80,245,65,1601,44.9%,199.0,364.0,62.0
Dario Saric,PHX,27,82,225,50,870,44.4%,112.0,166.0,61.0
DeAndre Jordan,BKN,32,83,265,57,1246,33.9%,125.0,214.0,62.5
DeMarcus Cousins,LAC,30,82,270,41,713,43.3%,95.0,146.0,61.4
Dean Wade,CLE,24,81,228,63,1212,45.1%,127.0,199.0,61.5
Deandre Ayton,PHX,22,83,250,69,2115,40.1%,226.0,416.0,61.8
Dewayne Dedmon,MIA,31,84,245,16,210,46.6%,24.0,41.0,62.4
Domantas Sabonis,IND,25,83,240,62,2231,50.4%,288.0,487.0,62.1
Donta Hall,ORL,23,82,230,13,179,54.6%,27.0,53.0,62.9
Drew Eubanks,SAS,24,81,245,54,755,53.1%,107.0,207.0,62.5
Dwight Howard,PHI,35,82,265,69,1196,55.0%,144.0,257.0,61.4
Dwight Powell,DAL,29,82,240,58,966,42.3%,116.0,183.0,61.8
Ed Davis,MIN,32,81,218,23,299,51.3%,49.0,80.0,61.0
Enes Kanter,POR,29,82,250,72,1757,53.2%,285.0,451.0,62.9
Frank Kaminsky,PHX,28,84,240,47,715,40.6%,96.0,153.0,63.1
Goga Bitadze,IND,21,83,250,45,561,57.9%,96.0,190.0,61.1
Gorgui Dieng,SAS,31,82,252,38,553,46.2%,81.0,123.0,63.6
Harry Giles III,POR,23,83,240,38,348,35.5%,43.0,71.0,61.7
Hassan Whiteside,SAC,32,84,265,36,546,54.7%,93.0,170.0,62.3
Henry Ellenson,TOR,24,82,240,2,38,33.3%,5.0,6.0,59.4
Isaiah Hartenstein,CLE,23,84,250,46,559,44.3%,71.0,129.0,62.7
Isaiah Stewart,DET,20,80,250,68,1455,49.7%,235.0,431.0,60.9
Ivica Zubac,LAC,24,84,240,72,1608,43.6%,189.0,368.0,63.2
JaMychal Green,DEN,31,80,227,58,1120,36.0%,81.0,123.0,61.1
